country,language
ABW,pt
AFG,fa
AGO,pt
AIA,en
ALB,sq
ARE,ar
ARG,es
ARM,hy
ASM,sm
ASM,en
ATG,en
AUS,it
AUS,en
AUT,hr
AUT,de
AZE,az
BDI,fr
BDI,en
BEL,fr
BEL,de
BEN,fr
BFA,fr
BGR,bg
BHR,ar
BIH,bs
BIH,hr
BIH,sr
BLM,en
BLM,fr
BLR,be
BLR,ru
BLZ,en
BMU,en
BOL,es
BOL,ay
BOL,qu
BRA,pt
BRA,es
BRB,en
BRN,ms
BTN,dz
BWA,en
CAF,fr
CAN,en
CAN,fr
CHE,de
CHE,fr
CHE,it
CHL,es
CHN,mn
CHN,bo
CHN,zh
CMR,fr
CMR,en
COK,en
COK,mi
COL,es
COM,ar
COM,sw
COM,fr
CRI,es
CUB,es
CUW,en
CUW,pt
CXR,en
CYM,en
CYP,tr
CZE,cs
DEU,da
DEU,de
DJI,fr
DJI,ar
DMA,en
DNK,fo
DNK,da
DOM,es
DZA,ar
ECU,es
EGY,ar
ERI,en
ERI,ti
ERI,ar
ESH,ar
ESP,eu
ESP,es
ESP,gl
EST,et
ETH,aa
ETH,om
ETH,so
ETH,am
FIN,sv
FIN,fi
FJI,fj
FJI,en
FRA,fr
FRO,fo
FRO,da
GAB,fr
GBR,cy
GBR,ga
GEO,ka
GGY,en
GGY,fr
GHA,en
GIB,en
GIN,fr
GNB,pt
GNQ,es
GNQ,fr
GRD,en
GRL,da
GTM,es
GUM,en
GUM,ch
GUY,en
HKG,en
HND,es
HRV,hr
HTI,fr
HUN,hu
IMN,en
IMN,gv
IND,bn
IND,en
IND,hi
IRL,en
IRL,ga
IRN,fa
IRQ,ar
IRQ,ku
IRQ,hy
ISL,en
ISL,is
ISR,ar
ITA,it
JAM,en
JEY,en
JOR,ar
JPN,ja
KAZ,kk
KAZ,ru
KEN,en
KGZ,ru
KIR,en
KNA,en
KOR,en
KOR,ko
KWT,ar
LAO,lo
LBN,ar
LBR,en
LBY,ar
LCA,en
LIE,de
LKA,ta
LSO,en
LTU,lt
LUX,de
LUX,fr
LVA,lv
MAF,fr
MAR,ar
MCO,fr
MDG,mg
MDG,fr
MDV,en
MEX,es
MHL,en
MHL,mh
MKD,mk
MKD,tr
MKD,sq
MKD,sr
MLI,fr
MLT,mt
MLT,en
MNG,mn
MNP,ch
MNP,en
MOZ,pt
MRT,ar
MSR,en
MWI,en
NAM,en
NCL,fr
NER,fr
NFK,en
NGA,en
NIC,es
NIU,en
NLD,yi
NOR,no
NPL,ne
NZL,en
NZL,mi
OMN,ar
PAK,en
PAK,ur
PAN,es
PER,ay
PER,es
PER,qu
PHL,tl
PHL,en
PLW,ja
PLW,en
PNG,en
POL,pl
PRI,en
PRI,es
PRK,ko
PRT,pt
PRY,es
PYF,fr
QAT,ar
RUS,ru
RWA,fr
RWA,rw
RWA,en
SAU,ar
SDN,en
SDN,ar
SEN,fr
SGP,en
SGP,ta
SGP,ms
SLB,en
SLE,en
SLV,es
SMR,it
SOM,ar
SOM,so
SPM,fr
SRB,sr
SSD,en
STP,pt
SVK,sk
SVN,it
SVN,sl
SVN,hu
SWE,sv
SWE,fi
SWZ,en
SXM,en
SYC,en
SYC,fr
SYR,ar
TCA,en
TCD,fr
TCD,ar
TGO,fr
THA,th
TJK,tg
TKL,sm
TKL,en
TKM,tk
TON,en
TTO,en
TUN,ar
TUR,tr
TUV,en
TWN,zh
TZA,sw
TZA,en
UGA,en
UKR,uk
URY,es
USA,en
UZB,uz
VCT,en
VCT,fr
VEN,es
VGB,en
VNM,vi
VUT,en
VUT,fr
VUT,bi
WLF,fr
WSM,sm
XKX,sr
XKX,sq
YEM,ar
ZAF,en
ZAF,af
ZMB,en
ZWE,en
ZWE,sn
